,file,speaker,dialog
0,Ses03F_impro01,Ses03F_impro01_F000,"God, finally I got to the line, the front of the line. I've been waiting there for like half an hour."
1,Ses03F_impro01,Ses03F_impro01_F001,[BREATHING] It's so hot in here. Hoo.
2,Ses03F_impro01,Ses03F_impro01_M000,Yeah.
3,Ses03F_impro01,Ses03F_impro01_M001,"Oh, um-"
4,Ses03F_impro01,Ses03F_impro01_F002,What's wrong?
5,Ses03F_impro01,Ses03F_impro01_M002,"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it."
6,Ses03F_impro01,Ses03F_impro01_F003,"No, no, no, no, no, no. The lady over there, she told me to fill out the front and she said to wait in this line."
7,Ses03F_impro01,Ses03F_impro01_M003,Who?
8,Ses03F_impro01,Ses03F_impro01_F004,I don't know. Some lady. Sonya or something.
9,Ses03F_impro01,Ses03F_impro01_M004,She- she probably doesn't even work here.
10,Ses03F_impro01,Ses03F_impro01_F005,"Excuse me? No, no. I waited in the line over there.."
11,Ses03F_impro01,Ses03F_impro01_M005,All right Uh-
12,Ses03F_impro01,Ses03F_impro01_F006,and she told me to come over here and she said to fill out everything on the application and I did that.
13,Ses03F_impro01,Ses03F_impro01_M006,It's not right.
14,Ses03F_impro01,Ses03F_impro01_F007,"Look, I-- No, no, no, I--you don't understand. I have to go back to work."
15,Ses03F_impro01,Ses03F_impro01_M007,You just take--all right.
16,Ses03F_impro01,Ses03F_impro01_M008,"Well, you didn't fill this paper at work out right and it's going to take another fifteen minutes to do it and look at how long the line we got here so just-"
17,Ses03F_impro01,Ses03F_impro01_F008,I am not-
18,Ses03F_impro01,Ses03F_impro01_M009,"okay, just go back and fill it out real quick and I'm sorry, you have to get back in line and wait. I can't let you cut."
19,Ses03F_impro01,Ses03F_impro01_F009,But you don't understand. I cannot get back in line because I have to go back to work. I will get fired if I don't leave here.
20,Ses03F_impro01,Ses03F_impro01_M010,"Well, maybe you should have got here earlier than so you had a lot of time to do this."
21,Ses03F_impro01,Ses03F_impro01_F010,But I was at work and the lady told me to come and work it and to stand in the line.
22,Ses03F_impro01,Ses03F_impro01_M011,I don't know who this lady is.
23,Ses03F_impro01,Ses03F_impro01_F011,[LAUGHTER]
24,Ses03F_impro02,Ses03F_impro02_F000,"How's it going, babe?"
25,Ses03F_impro02,Ses03F_impro02_F001,Yeah?
26,Ses03F_impro02,Ses03F_impro02_M000,All right.
27,Ses03F_impro02,Ses03F_impro02_F002,Good.
28,Ses03F_impro02,Ses03F_impro02_F003,"Hey listen,eh- I've been wanting to talk to you. I have something to tell you. How's Amy doing?"
29,Ses03F_impro02,Ses03F_impro02_M001,She's doing fine. She just took her first steps today actually. I videotaped it for you so you can watch it.
30,Ses03F_impro02,Ses03F_impro02_F004,yeah.
31,Ses03F_impro02,Ses03F_impro02_F005,oh.
32,Ses03F_impro02,Ses03F_impro02_F006,"I really want to say that. Well I, so, you know, at the center department they called me in and I talked to-"
33,Ses03F_impro02,Ses03F_impro02_M002,"Oh, yeah? What did they say?"
34,Ses03F_impro02,Ses03F_impro02_F007,Well umm- actually they--I was promoted.
35,Ses03F_impro02,Ses03F_impro02_M003,"Oh, wow. That's great."
36,Ses03F_impro02,Ses03F_impro02_F008,And Uh- Yeah. Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.
37,Ses03F_impro02,Ses03F_impro02_F009,"And uh - seeing as I was uh- promoted and head of the department now, and so- well, they asked me to go."
38,Ses03F_impro02,Ses03F_impro02_F010,yeah.
39,Ses03F_impro02,Ses03F_impro02_M004,when?
40,Ses03F_impro02,Ses03F_impro02_F011,It's going- It's going to be probably in about three weeks.
41,Ses03F_impro02,Ses03F_impro02_M005,What? You can't do that. Three weeks?
42,Ses03F_impro02,Ses03F_impro02_F012,yeah
43,Ses03F_impro02,Ses03F_impro02_F013,"Well, I'm leaving in three weeks, but-- Yeah."
44,Ses03F_impro02,Ses03F_impro02_M006,"God, we're supposed to take a look at a house next week."
45,Ses03F_impro02,Ses03F_impro02_F014,Maybe we can still do that
46,Ses03F_impro02,Ses03F_impro02_M007,"I can't- No, I can't do this alone."
47,Ses03F_impro02,Ses03F_impro02_F015,"Yeah, and uh--"
48,Ses03F_impro02,Ses03F_impro02_M008,Amy's starting school in a month.
49,Ses03F_impro02,Ses03F_impro02_F016,"I know, but look, I have to take this. I mean, if I don't, I mean, I could get fired."
50,Ses03F_impro02,Ses03F_impro02_F017,And we know you need-we need the money. We couldn't even- purchase a house if I didn't take this.
51,Ses03F_impro02,Ses03F_impro02_M009,God.
52,Ses03F_impro02,Ses03F_impro02_M010,You know what happened to my cousin. She went and she never came back.
53,Ses03F_impro02,Ses03F_impro02_F018,"Honey, I'm going to come back. It's not like that."
54,Ses03F_impro02,Ses03F_impro02_F019,But it- it is for a year.
55,Ses03F_impro02,Ses03F_impro02_M011,Oh
56,Ses03F_impro02,Ses03F_impro02_F020,"Babe, I'm sorry. But I don't want to do."
57,Ses03F_impro02,Ses03F_impro02_M012,I can't-
58,Ses03F_impro02,Ses03F_impro02_F021,"You know as much as -as much as me that I-I want to stay here with you and Amy so bad, but I can't."
59,Ses03F_impro02,Ses03F_impro02_M013,You remember the last time you went? You know how hard it was for me? Now we have a kid.
60,Ses03F_impro02,Ses03F_impro02_F022,"But you're so good with her. You know, she knows you better than she knows me 'cause I'm at work every day."
61,Ses03F_impro02,Ses03F_impro02_M014,I have to work.
62,Ses03F_impro02,Ses03F_impro02_M015,[BREATHING]
63,Ses03F_impro02,Ses03F_impro02_F023,"Babe, I love you."
64,Ses03F_impro02,Ses03F_impro02_M016,You can't leave your daughter alone like this.
65,Ses03F_impro02,Ses03F_impro02_F024,"But she has you. I mean, that's what you're there for. You're my right-hand man."
66,Ses03F_impro02,Ses03F_impro02_F025,It's going to be okay.
67,Ses03F_impro02,Ses03F_impro02_M017,You can't postpone it?
68,Ses03F_impro02,Ses03F_impro02_F026,"No, I have to go."
69,Ses03F_impro02,Ses03F_impro02_F027,"Wait, you can write me and as you know, send me pictures."
70,Ses03F_impro02,Ses03F_impro02_M018,I don't know if I can handle you going another year.
71,Ses03F_impro02,Ses03F_impro02_F028,What do you mean?
72,Ses03F_impro02,Ses03F_impro02_M019,I don't know if I- if I could take it.
73,Ses03F_impro02,Ses03F_impro02_F029,"Look, I need you to be strong for me. 'Cause I can't be the only one that's strong right now, really, I--"
74,Ses03F_impro02,Ses03F_impro02_M020,I can't be that strong. A whole year.
75,Ses03F_impro02,Ses03F_impro02_M021,"me, oh my god."
76,Ses03F_impro02,Ses03F_impro02_F030,"But we can work, you know, we--you can write me and we could see pictures"
77,Ses03F_impro02,Ses03F_impro02_M022,What if you don't come back?
78,Ses03F_impro02,Ses03F_impro02_F031,"and if we survive, if we survive that then babe, you know you know we could survive any--"
79,Ses03F_impro02,Ses03F_impro02_F032,I will come back.
80,Ses03F_impro02,Ses03F_impro02_M023,"What am I supposed--oh, one out of five people aren't coming back."
81,Ses03F_impro02,Ses03F_impro02_M024,It doesn't look very good.
82,Ses03F_impro02,Ses03F_impro02_F033,I can do it. I'm going to do it. And I'll be back safe and sound and-
83,Ses03F_impro02,Ses03F_impro02_F034,we'll have all the money that we ever needed.
84,Ses03F_impro02,Ses03F_impro02_F035,And- And then I'll stop working and- I'll stay home with the baby.
85,Ses03F_impro02,Ses03F_impro02_M025,I don't want the money. I want-you here
86,Ses03F_impro02,Ses03F_impro02_M026,"we'll get money, all right? You don't need the job, all right?"
87,Ses03F_impro02,Ses03F_impro02_M027,If your life is going to be in danger and this family is going to be in danger we don't need the job. We'll find the money.
88,Ses03F_impro02,Ses03F_impro02_F036,It's all I ever knew how to do. I can't quit now.
89,Ses03F_impro02,Ses03F_impro02_M028,How are we supposed to tell Amy? How's she supposed to understand that?
90,Ses03F_impro02,Ses03F_impro02_F037,"Well, we- we tell her mommy's going on va- on a trip for for- a while."
91,Ses03F_impro02,Ses03F_impro02_M029,"How is she going to feel the first year in school, no mom."
92,Ses03F_impro02,Ses03F_impro02_F038,Don't do that to me.
93,Ses03F_impro02,Ses03F_impro02_F039,"It's hard enough already, Brian, I can't."
94,Ses03F_impro02,Ses03F_impro02_M030,I'm not thinking about just me; I'm thinking about our child.
95,Ses03F_impro02,Ses03F_impro02_F040,I know.
96,Ses03F_impro02,Ses03F_impro02_F041,"I didn't expect this to happen. I never planned for this. Some things you just don't plan for, you know."
97,Ses03F_impro02,Ses03F_impro02_F042,"I'm sorry, babe."
98,Ses03F_impro02,Ses03F_impro02_F043,I'm so sorry.
99,Ses03F_impro02,Ses03F_impro02_M031,"All right, then."
100,Ses03F_impro03,Ses03F_impro03_M000,"Oh, my God, look at that. Huh-oh, how many carats is that?"
101,Ses03F_impro03,F:,
102,Ses03F_impro03,Ses03F_impro03_F000,"I know. [LAUGHTER]. Dude, I don't know. It's- Probably. It's huge. I don't even know how to like wear it. My hand is like going down like really low. I can't believe it."
103,Ses03F_impro03,Ses03F_impro03_M001,Like eighteen? [LAUGHTER]
104,Ses03F_impro03,Ses03F_impro03_M002,"Oh, Jesus."
105,Ses03F_impro03,Ses03F_impro03_M003,Is it-
106,Ses03F_impro03,Ses03F_impro03_F001,"I- Yeah, it's-"
107,Ses03F_impro03,Ses03F_impro03_M004,So how did he do it?
108,Ses03F_impro03,Ses03F_impro03_F002,"Oh, man. So I was--okay, so we went to go see this show on Broadway, right? And it was The wed- the wed- The Lousy Chaperone. Have you seen that one?"
109,Ses03F_impro03,Ses03F_impro03_M005,yeah [LAUGHTER]
110,Ses03F_impro03,Ses03F_impro03_M006,"Yeah, The Lousy Chaperone. [LAUGHTER] Uh huh."
111,Ses03F_impro03,Ses03F_impro03_F003,"Right. Right. Right. So, and there's like a whole like wedding scene in it. All right, not the--Drowsy, Drowsy [LAUGHTER] --not the Lousy. [LAUGHTER]. Um - So Drowsy. So I go to see this Drowsy Chaperone. And uh-"
112,Ses03F_impro03,Ses03F_impro03_M007,[LAUGHTER] Uh- Drowsy.
113,Ses03F_impro03,Ses03F_impro03_F004,"at the end of the performance, you know, like we're all clapping and stuff. And all of a sudden I look over and"
114,Ses03F_impro03,Ses03F_impro03_F005,"Joe's gone. -where did he go, you know?"
115,Ses03F_impro03,Ses03F_impro03_M008,Uh huh. Oh-
116,Ses03F_impro03,Ses03F_impro03_F006,"And I'm like oh, he went to the- -the bathroom, but he didn't tell me, I didn't even notice him leaving. And all of a sudden, I swear to God, I'm sitting there and-"
117,Ses03F_impro03,Ses03F_impro03_F007,he comes up onstage-- And the entire cast everyone just like
118,Ses03F_impro03,Ses03F_impro03_M009,oh-
119,Ses03F_impro03,Ses03F_impro03_F008,goes up there and everyone's clapping and he's standing there and they put a spotlight on him.
120,Ses03F_impro03,Ses03F_impro03_M010,"Oh, my God."
