,file,speaker,emotion
0,Ses02F_impro01,Ses02F_impro01_F000,neu
1,Ses02F_impro01,Ses02F_impro01_F001,sur
2,Ses02F_impro01,Ses02F_impro01_F002,xxx
3,Ses02F_impro01,Ses02F_impro01_F003,fru
4,Ses02F_impro01,Ses02F_impro01_F004,fru
5,Ses02F_impro01,Ses02F_impro01_F005,fru
6,Ses02F_impro01,Ses02F_impro01_F006,fru
7,Ses02F_impro01,Ses02F_impro01_F007,fru
8,Ses02F_impro01,Ses02F_impro01_F008,fru
9,Ses02F_impro01,Ses02F_impro01_F009,fru
10,Ses02F_impro01,Ses02F_impro01_F010,fru
11,Ses02F_impro01,Ses02F_impro01_F011,fru
12,Ses02F_impro01,Ses02F_impro01_F012,fru
13,Ses02F_impro01,Ses02F_impro01_F013,fru
14,Ses02F_impro01,Ses02F_impro01_F014,fru
15,Ses02F_impro01,Ses02F_impro01_F015,fru
16,Ses02F_impro01,Ses02F_impro01_F016,fru
17,Ses02F_impro01,Ses02F_impro01_F017,fru
18,Ses02F_impro01,Ses02F_impro01_F018,ang
19,Ses02F_impro01,Ses02F_impro01_F019,ang
20,Ses02F_impro01,Ses02F_impro01_F020,ang
21,Ses02F_impro01,Ses02F_impro01_F021,ang
22,Ses02F_impro01,Ses02F_impro01_F022,fru
23,Ses02F_impro01,Ses02F_impro01_F023,fru
24,Ses02F_impro01,Ses02F_impro01_M000,neu
25,Ses02F_impro01,Ses02F_impro01_M001,neu
26,Ses02F_impro01,Ses02F_impro01_M002,neu
27,Ses02F_impro01,Ses02F_impro01_M003,xxx
28,Ses02F_impro01,Ses02F_impro01_M004,neu
29,Ses02F_impro01,Ses02F_impro01_M005,fru
30,Ses02F_impro01,Ses02F_impro01_M006,fru
31,Ses02F_impro01,Ses02F_impro01_M007,fru
32,Ses02F_impro01,Ses02F_impro01_M008,fru
33,Ses02F_impro01,Ses02F_impro01_M009,fru
34,Ses02F_impro01,Ses02F_impro01_M010,fru
35,Ses02F_impro01,Ses02F_impro01_M011,fru
36,Ses02F_impro01,Ses02F_impro01_M012,fru
37,Ses02F_impro01,Ses02F_impro01_M013,fru
38,Ses02F_impro01,Ses02F_impro01_M014,fru
39,Ses02F_impro01,Ses02F_impro01_M015,fru
40,Ses02F_impro01,Ses02F_impro01_M016,xxx
41,Ses02F_impro01,Ses02F_impro01_M017,ang
42,Ses02F_impro01,Ses02F_impro01_M018,fru
43,Ses02F_impro01,Ses02F_impro01_M019,ang
44,Ses02F_impro01,Ses02F_impro01_M020,fru
45,Ses02F_impro01,Ses02F_impro01_M021,fru
46,Ses02F_impro01,Ses02F_impro01_M022,fru
47,Ses02F_impro01,Ses02F_impro01_M023,fru
48,Ses02F_impro01,Ses02F_impro01_M024,fru
49,Ses02F_impro02,Ses02F_impro02_F000,sad
50,Ses02F_impro02,Ses02F_impro02_F001,sad
51,Ses02F_impro02,Ses02F_impro02_F002,sad
52,Ses02F_impro02,Ses02F_impro02_F003,sad
53,Ses02F_impro02,Ses02F_impro02_F004,sad
54,Ses02F_impro02,Ses02F_impro02_F005,sad
