,file,speaker,emotion
0,Ses05F_impro01,Ses05F_impro01_F000,neu
1,Ses05F_impro01,Ses05F_impro01_F001,fru
2,Ses05F_impro01,Ses05F_impro01_F002,fru
3,Ses05F_impro01,Ses05F_impro01_F003,fru
4,Ses05F_impro01,Ses05F_impro01_F004,fru
5,Ses05F_impro01,Ses05F_impro01_F005,fru
6,Ses05F_impro01,Ses05F_impro01_F006,fru
7,Ses05F_impro01,Ses05F_impro01_F007,fru
8,Ses05F_impro01,Ses05F_impro01_F008,neu
9,Ses05F_impro01,Ses05F_impro01_F009,fru
10,Ses05F_impro01,Ses05F_impro01_F010,fru
11,Ses05F_impro01,Ses05F_impro01_F011,fru
12,Ses05F_impro01,Ses05F_impro01_F012,fru
13,Ses05F_impro01,Ses05F_impro01_F013,fru
14,Ses05F_impro01,Ses05F_impro01_F014,fru
15,Ses05F_impro01,Ses05F_impro01_F015,fru
16,Ses05F_impro01,Ses05F_impro01_F016,fru
17,Ses05F_impro01,Ses05F_impro01_F017,ang
18,Ses05F_impro01,Ses05F_impro01_F018,ang
19,Ses05F_impro01,Ses05F_impro01_F019,fru
20,Ses05F_impro01,Ses05F_impro01_F020,ang
21,Ses05F_impro01,Ses05F_impro01_F021,fru
22,Ses05F_impro01,Ses05F_impro01_F022,fru
23,Ses05F_impro01,Ses05F_impro01_F023,fru
24,Ses05F_impro01,Ses05F_impro01_M000,neu
25,Ses05F_impro01,Ses05F_impro01_M001,xxx
26,Ses05F_impro01,Ses05F_impro01_M002,xxx
27,Ses05F_impro01,Ses05F_impro01_M003,neu
28,Ses05F_impro01,Ses05F_impro01_M004,fru
29,Ses05F_impro01,Ses05F_impro01_M005,fru
30,Ses05F_impro01,Ses05F_impro01_M006,fru
31,Ses05F_impro01,Ses05F_impro01_M007,fru
32,Ses05F_impro01,Ses05F_impro01_M008,fru
33,Ses05F_impro01,Ses05F_impro01_M009,fru
34,Ses05F_impro01,Ses05F_impro01_M010,fru
35,Ses05F_impro01,Ses05F_impro01_M011,fru
36,Ses05F_impro01,Ses05F_impro01_M012,fru
37,Ses05F_impro01,Ses05F_impro01_M013,fru
38,Ses05F_impro01,Ses05F_impro01_M014,fru
39,Ses05F_impro01,Ses05F_impro01_M015,fru
40,Ses05F_impro01,Ses05F_impro01_M016,xxx
41,Ses05F_impro01,Ses05F_impro01_M017,fru
42,Ses05F_impro01,Ses05F_impro01_M018,fru
43,Ses05F_impro01,Ses05F_impro01_M019,fru
44,Ses05F_impro01,Ses05F_impro01_M020,fru
45,Ses05F_impro01,Ses05F_impro01_M021,fru
46,Ses05F_impro01,Ses05F_impro01_M022,xxx
47,Ses05F_impro01,Ses05F_impro01_M023,fru
48,Ses05F_impro01,Ses05F_impro01_M024,xxx
49,Ses05F_impro02,Ses05F_impro02_F000,xxx
50,Ses05F_impro02,Ses05F_impro02_F001,sad
51,Ses05F_impro02,Ses05F_impro02_F002,sad
52,Ses05F_impro02,Ses05F_impro02_F003,xxx
53,Ses05F_impro02,Ses05F_impro02_F004,sad
54,Ses05F_impro02,Ses05F_impro02_F005,sad
55,Ses05F_impro02,Ses05F_impro02_F006,fea
56,Ses05F_impro02,Ses05F_impro02_F007,xxx
57,Ses05F_impro02,Ses05F_impro02_F008,sad
58,Ses05F_impro02,Ses05F_impro02_F009,sad
59,Ses05F_impro02,Ses05F_impro02_F010,sad
60,Ses05F_impro02,Ses05F_impro02_F011,sad
61,Ses05F_impro02,Ses05F_impro02_F012,sad
62,Ses05F_impro02,Ses05F_impro02_F013,fru
63,Ses05F_impro02,Ses05F_impro02_F014,fru
64,Ses05F_impro02,Ses05F_impro02_F015,xxx
65,Ses05F_impro02,Ses05F_impro02_F016,xxx
66,Ses05F_impro02,Ses05F_impro02_F017,fru
67,Ses05F_impro02,Ses05F_impro02_F018,fru
68,Ses05F_impro02,Ses05F_impro02_F019,xxx
69,Ses05F_impro02,Ses05F_impro02_F020,fru
70,Ses05F_impro02,Ses05F_impro02_F021,sad
71,Ses05F_impro02,Ses05F_impro02_F022,xxx
72,Ses05F_impro02,Ses05F_impro02_F023,sad
73,Ses05F_impro02,Ses05F_impro02_F024,sad
74,Ses05F_impro02,Ses05F_impro02_F025,fru
75,Ses05F_impro02,Ses05F_impro02_F026,fru
76,Ses05F_impro02,Ses05F_impro02_F027,sad
77,Ses05F_impro02,Ses05F_impro02_F028,sad
78,Ses05F_impro02,Ses05F_impro02_F029,sad
79,Ses05F_impro02,Ses05F_impro02_F030,xxx
80,Ses05F_impro02,Ses05F_impro02_F031,sad
81,Ses05F_impro02,Ses05F_impro02_F032,sad
82,Ses05F_impro02,Ses05F_impro02_F033,xxx
83,Ses05F_impro02,Ses05F_impro02_F034,sad
84,Ses05F_impro02,Ses05F_impro02_F035,sad
85,Ses05F_impro02,Ses05F_impro02_F036,sad
86,Ses05F_impro02,Ses05F_impro02_F037,sad
87,Ses05F_impro02,Ses05F_impro02_F038,sad
88,Ses05F_impro02,Ses05F_impro02_M000,neu
89,Ses05F_impro02,Ses05F_impro02_M001,xxx
90,Ses05F_impro02,Ses05F_impro02_M002,xxx
91,Ses05F_impro02,Ses05F_impro02_M003,xxx
92,Ses05F_impro02,Ses05F_impro02_M004,ang
93,Ses05F_impro02,Ses05F_impro02_M005,ang
94,Ses05F_impro02,Ses05F_impro02_M006,fru
95,Ses05F_impro02,Ses05F_impro02_M007,xxx
96,Ses05F_impro02,Ses05F_impro02_M008,fru
97,Ses05F_impro02,Ses05F_impro02_M009,xxx
98,Ses05F_impro02,Ses05F_impro02_M010,ang
99,Ses05F_impro02,Ses05F_impro02_M011,xxx
100,Ses05F_impro02,Ses05F_impro02_M012,xxx
101,Ses05F_impro02,Ses05F_impro02_M013,xxx
102,Ses05F_impro02,Ses05F_impro02_M014,ang
103,Ses05F_impro02,Ses05F_impro02_M015,ang
104,Ses05F_impro02,Ses05F_impro02_M016,fru
105,Ses05F_impro02,Ses05F_impro02_M017,xxx
106,Ses05F_impro02,Ses05F_impro02_M018,xxx
107,Ses05F_impro02,Ses05F_impro02_M019,sur
108,Ses05F_impro02,Ses05F_impro02_M020,xxx
109,Ses05F_impro02,Ses05F_impro02_M021,xxx
110,Ses05F_impro02,Ses05F_impro02_M022,xxx
111,Ses05F_impro02,Ses05F_impro02_M023,xxx
112,Ses05F_impro02,Ses05F_impro02_M024,sad
113,Ses05F_impro02,Ses05F_impro02_M025,sad
114,Ses05F_impro02,Ses05F_impro02_M026,sad
115,Ses05F_impro02,Ses05F_impro02_M027,xxx
116,Ses05F_impro02,Ses05F_impro02_M028,xxx
117,Ses05F_impro02,Ses05F_impro02_M029,sad
118,Ses05F_impro02,Ses05F_impro02_M030,xxx
119,Ses05F_impro02,Ses05F_impro02_M031,sad
120,Ses05F_impro02,Ses05F_impro02_M032,sad
121,Ses05F_impro02,Ses05F_impro02_M033,sad
122,Ses05F_impro02,Ses05F_impro02_M034,sad
123,Ses05F_impro02,Ses05F_impro02_M035,sad
124,Ses05F_impro02,Ses05F_impro02_M036,sad
125,Ses05F_impro02,Ses05F_impro02_M037,xxx
126,Ses05F_impro02,Ses05F_impro02_M038,xxx
127,Ses05F_impro02,Ses05F_impro02_M039,sur
128,Ses05F_impro02,Ses05F_impro02_M040,xxx
129,Ses05F_impro02,Ses05F_impro02_M041,sad
130,Ses05F_impro03,Ses05F_impro03_F000,exc
131,Ses05F_impro03,Ses05F_impro03_F001,exc
132,Ses05F_impro03,Ses05F_impro03_F002,exc
133,Ses05F_impro03,Ses05F_impro03_F003,exc
134,Ses05F_impro03,Ses05F_impro03_F004,exc
135,Ses05F_impro03,Ses05F_impro03_F005,exc
136,Ses05F_impro03,Ses05F_impro03_F006,xxx
137,Ses05F_impro03,Ses05F_impro03_F007,exc
138,Ses05F_impro03,Ses05F_impro03_F008,exc
139,Ses05F_impro03,Ses05F_impro03_F009,exc
140,Ses05F_impro03,Ses05F_impro03_F010,xxx
141,Ses05F_impro03,Ses05F_impro03_F011,exc
142,Ses05F_impro03,Ses05F_impro03_F012,xxx
143,Ses05F_impro03,Ses05F_impro03_F013,xxx
144,Ses05F_impro03,Ses05F_impro03_F014,xxx
145,Ses05F_impro03,Ses05F_impro03_F015,xxx
146,Ses05F_impro03,Ses05F_impro03_F016,xxx
147,Ses05F_impro03,Ses05F_impro03_F017,xxx
148,Ses05F_impro03,Ses05F_impro03_F018,xxx
149,Ses05F_impro03,Ses05F_impro03_F019,xxx
150,Ses05F_impro03,Ses05F_impro03_F020,exc
151,Ses05F_impro03,Ses05F_impro03_F021,xxx
152,Ses05F_impro03,Ses05F_impro03_F022,xxx
