,file,speaker,dialog
0,Ses02F_impro01,Ses02F_impro01_F000,"Hi. Excuse me. Um, I'd like to put in this application for my registration."
1,Ses02F_impro01,Ses02F_impro01_M000,Hi.
2,Ses02F_impro01,Ses02F_impro01_M001,"Okay. Let me see here. Um, we need--we need your original birth certificate."
3,Ses02F_impro01,Ses02F_impro01_F001,My--my original birth certificate? But I don't carry that with me.
4,Ses02F_impro01,Ses02F_impro01_M002,Right. Well. We still need it.
5,Ses02F_impro01,Ses02F_impro01_F002,"Well, I have my driver's license, does that work?"
6,Ses02F_impro01,Ses02F_impro01_M003,"No. no Uh, no one told you that you needed your original birth certificate."
7,Ses02F_impro01,Ses02F_impro01_F003,No it doesn't say it on the form.
8,Ses02F_impro01,Ses02F_impro01_F004,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification."
9,Ses02F_impro01,Ses02F_impro01_F005,I mean if I had known--I would have brought it.
10,Ses02F_impro01,Ses02F_impro01_M004,um Sorry.
11,Ses02F_impro01,Ses02F_impro01_M005,"Okay. Um, I'm sorry but I--I can't help you. You're gonna have to go back and uh..."
12,Ses02F_impro01,Ses02F_impro01_F006,"Look, I've been waiting in line for a really long time. I mean, you've seen how long it is."
13,Ses02F_impro01,Ses02F_impro01_F007,It's lunch hour.
14,Ses02F_impro01,Ses02F_impro01_M006,Right. It's the D.M.V..
15,Ses02F_impro01,Ses02F_impro01_M007,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?"
16,Ses02F_impro01,Ses02F_impro01_F008,"Well, no. I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again."
17,Ses02F_impro01,Ses02F_impro01_F009,I have my passport and I have my driver's license. And that's all I have.
18,Ses02F_impro01,Ses02F_impro01_M008,"Alright, I don't know what to tell you right."
19,Ses02F_impro01,Ses02F_impro01_M009,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out. Maybe, we can-"
20,Ses02F_impro01,Ses02F_impro01_F010,"But, isn't there anything you can do. Can't you make an exception this one time? My picture is on both of those identifications. It's not like you don't know that it's me."
21,Ses02F_impro01,Ses02F_impro01_M010,I can't.
22,Ses02F_impro01,Ses02F_impro01_F011,And I can give you my social--
23,Ses02F_impro01,Ses02F_impro01_M011,"I make an exception for you and I have to make an exception for everyone. I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-"
24,Ses02F_impro01,Ses02F_impro01_F012,"Well, I can give you my Social Security Number."
25,Ses02F_impro01,Ses02F_impro01_M012,"No, it's--"
